GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,A00AA1790,A00AA1800,A00AA1810,A00AA1820,A00AA1830,A00AA1840,A00AA1850,A00AA1860,A00AA1870,A00AA1880,A00AA1890,A00AA1900,A00AA1910,A00AA1920,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AE2000,B18AE2010,B69AA1970,B69AA1980,B69AA1990,B69AA2000,B69AA125,B69AA125M,B69AB1970,B69AB1980,B69AB1990,B69AB2000,B69AB125,B69AB125M,B69AC1970,B69AC1980,B69AC1990,B69AC2000,B69AC125,B69AC125M,BS4AA1970,BS4AA1980,BS4AA1990,BS4AA2000,BS4AA125,BS4AA125M,BS4AB1970,BS4AB1980,BS4AB1990,BS4AB2000,BS4AB125,BS4AB125M,BS4AC1970,BS4AC1980,BS4AC1990,BS4AC2000,BS4AC125,BS4AC125M,BS4AD1970,BS4AD1980,BS4AD1990,BS4AD2000,BS4AD125,BS4AD125M,BS4AE1970,BS4AE1980,BS4AE1990,BS4AE2000,BS4AE125,BS4AE125M,BS4AF1970,BS4AF1980,BS4AF1990,BS4AF2000,BS4AF125,BS4AF125M,BS4AG1970,BS4AG1980,BS4AG1990,BS4AG2000,BS4AG125,BS4AG125M,BS4AH1970,BS4AH1980,BS4AH1990,BS4AH2000,BS4AH125,BS4AH125M,BS4AI1970,BS4AI1980,BS4AI1990,BS4AI2000,BS4AI125,BS4AI125M,BS4AJ1970,BS4AJ1980,BS4AJ1990,BS4AJ2000,BS4AJ125,BS4AJ125M,BS4AK1970,BS4AK1980,BS4AK1990,BS4AK2000,BS4AK125,BS4AK125M,BS4AL1970,BS4AL1980,BS4AL1990,BS4AL2000,BS4AL125,BS4AL125M,BS7AA1970,BS7AA1980,BS7AA1990,BS7AA2000,BS7AA125,BS7AA125M,BS7AB1970,BS7AB1980,BS7AB1990,BS7AB2000,BS7AB125,BS7AB125M,BS7AC1970,BS7AC1980,BS7AC1990,BS7AC2000,BS7AC125,BS7AC125M,BS7AD1970,BS7AD1980,BS7AD1990,BS7AD2000,BS7AD125,BS7AD125M,B79AA1980,B79AA1990,B79AA2000,B79AA125,B79AA125M,B37AA1970,B37AA1980,B37AA1990,B37AA2000,B37AA2010,B37AB1970,B37AB1980,B37AB1990,B37AB2000,B37AB2010,B39AA1970,B39AA1980,B39AA1990,B39AA2000,B39AA2010,B39AB1970,B39AB1980,B39AB1990,B39AB2000,B39AB2010,B39AC1970,B39AC1980,B39AC1990,B39AC2000,B39AC2010,B39AD2000,B39AD2010,B39AE1970,B39AE1980,B39AE1990,B39AE2000,B39AE2010,B39AF1970,B39AF1980,B39AF1990,B39AF2000,B39AF2010,B39AG1970,B39AG1980,B39AG1990,B39AG2000,B39AG2010,B39AH2000,B39AH2010
GIS Join Match Code,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,NHGIS Integrated County Name,FIPS County Code,NHGIS Integrated County Code,1790: Persons: Total,1800: Persons: Total,1810: Persons: Total,1820: Persons: Total,1830: Persons: Total,1840: Persons: Total,1850: Persons: Total,1860: Persons: Total,1870: Persons: Total,1880: Persons: Total,1890: Persons: Total,1900: Persons: Total,1910: Persons: Total,1920: Persons: Total,1930: Persons: Total,1940: Persons: Total,1950: Persons: Total,1960: Persons: Total,1970: Persons: Total,1980: Persons: Total,1990: Persons: Total,2000: Persons: Total,2010: Persons: Total,1970: Persons: White (single race),1980: Persons: White (single race),1990: Persons: White (single race),2000: Persons: White (single race),2010: Persons: White (single race),1970: Persons: Black or African American (single race),1980: Persons: Black or African American (single race),1990: Persons: Black or African American (single race),2000: Persons: Black or African American (single race),2010: Persons: Black or African American (single race),1970: Persons: American Indian and Alaska Native (single race),1980: Persons: American Indian and Alaska Native (single race),1990: Persons: American Indian and Alaska Native (single race),2000: Persons: American Indian and Alaska Native (single race),2010: Persons: American Indian and Alaska Native (single race),1970: Persons: Asian and Pacific Islander and Other Race (single race),1980: Persons: Asian and Pacific Islander and Other Race (single race),1990: Persons: Asian and Pacific Islander and Other Race (single race),2000: Persons: Asian and Pacific Islander and Other Race (single race),2010: Persons: Asian and Pacific Islander and Other Race (single race),2000: Persons: Two or More Races,2010: Persons: Two or More Races,1970: Persons: 25 years and over ~ Less than 9th grade,1980: Persons: 25 years and over ~ Less than 9th grade,1990: Persons: 25 years and over ~ Less than 9th grade,2000: Persons: 25 years and over ~ Less than 9th grade,2008-2012: Persons: 25 years and over ~ Less than 9th grade,Margin of error: 2008-2012: Persons: 25 years and over ~ Less than 9th grade,1970: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1980: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1990: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2000: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),2008-2012: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ 9th grade to 3 years of college (until 1980) or to some college or associate's degree (since 1990),1970: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),1980: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),1990: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),2000: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),2008-2012: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),Margin of error: 2008-2012: Persons: 25 years and over ~ 4 or more years of college (until 1980) or bachelor's degree or higher (since 1990),1970: Persons: 16 years and over ~ Male ~ In labor force,1980: Persons: 16 years and over ~ Male ~ In labor force,1990: Persons: 16 years and over ~ Male ~ In labor force,2000: Persons: 16 years and over ~ Male ~ In labor force,2008-2012: Persons: 16 years and over ~ Male ~ In labor force,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force,1970: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,1980: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,1990: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,2000: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,2008-2012: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force--In Armed Forces,1970: Persons: 16 years and over ~ Male ~ In labor force--Civilian,1980: Persons: 16 years and over ~ Male ~ In labor force--Civilian,1990: Persons: 16 years and over ~ Male ~ In labor force--Civilian,2000: Persons: 16 years and over ~ Male ~ In labor force--Civilian,2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian,1970: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,1980: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,1990: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,2000: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Employed,1970: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,1980: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,1990: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,2000: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ In labor force--Civilian--Unemployed,1970: Persons: 16 years and over ~ Male ~ Not in labor force,1980: Persons: 16 years and over ~ Male ~ Not in labor force,1990: Persons: 16 years and over ~ Male ~ Not in labor force,2000: Persons: 16 years and over ~ Male ~ Not in labor force,2008-2012: Persons: 16 years and over ~ Male ~ Not in labor force,Margin of error: 2008-2012: Persons: 16 years and over ~ Male ~ Not in labor force,1970: Persons: 16 years and over ~ Female ~ In labor force,1980: Persons: 16 years and over ~ Female ~ In labor force,1990: Persons: 16 years and over ~ Female ~ In labor force,2000: Persons: 16 years and over ~ Female ~ In labor force,2008-2012: Persons: 16 years and over ~ Female ~ In labor force,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force,1970: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,1980: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,1990: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,2000: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,2008-2012: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force--In Armed Forces,1970: Persons: 16 years and over ~ Female ~ In labor force--Civilian,1980: Persons: 16 years and over ~ Female ~ In labor force--Civilian,1990: Persons: 16 years and over ~ Female ~ In labor force--Civilian,2000: Persons: 16 years and over ~ Female ~ In labor force--Civilian,2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian,1970: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,1980: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,1990: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,2000: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Employed,1970: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,1980: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,1990: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,2000: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ In labor force--Civilian--Unemployed,1970: Persons: 16 years and over ~ Female ~ Not in labor force,1980: Persons: 16 years and over ~ Female ~ Not in labor force,1990: Persons: 16 years and over ~ Female ~ Not in labor force,2000: Persons: 16 years and over ~ Female ~ Not in labor force,2008-2012: Persons: 16 years and over ~ Female ~ Not in labor force,Margin of error: 2008-2012: Persons: 16 years and over ~ Female ~ Not in labor force,"1970: Households: Income less than $10,000","1980: Households: Income less than $10,000","1990: Households: Income less than $10,000","2000: Households: Income less than $10,000","2008-2012: Households: Income less than $10,000","Margin of error: 2008-2012: Households: Income less than $10,000","1970: Households: Income $10,000 to $14,999","1980: Households: Income $10,000 to $14,999","1990: Households: Income $10,000 to $14,999","2000: Households: Income $10,000 to $14,999","2008-2012: Households: Income $10,000 to $14,999","Margin of error: 2008-2012: Households: Income $10,000 to $14,999","1970: Households: Income $15,000 to $24,999","1980: Households: Income $15,000 to $24,999","1990: Households: Income $15,000 to $24,999","2000: Households: Income $15,000 to $24,999","2008-2012: Households: Income $15,000 to $24,999","Margin of error: 2008-2012: Households: Income $15,000 to $24,999","1970: Households: Income $25,000 or more","1980: Households: Income $25,000 or more","1990: Households: Income $25,000 or more","2000: Households: Income $25,000 or more","2008-2012: Households: Income $25,000 or more","Margin of error: 2008-2012: Households: Income $25,000 or more",1980: Median income in previous year: Households,1990: Median income in previous year: Households,2000: Median income in previous year: Households,2008-2012: Median income in previous year: Households,Margin of error: 2008-2012: Median income in previous year: Households,1970: Housing units: Owner occupied,1980: Housing units: Owner occupied,1990: Housing units: Owner occupied,2000: Housing units: Owner occupied,2010: Housing units: Owner occupied,1970: Housing units: Renter occupied,1980: Housing units: Renter occupied,1990: Housing units: Renter occupied,2000: Housing units: Renter occupied,2010: Housing units: Renter occupied,1970: Housing units: Owner occupied ~ Householder is White (single race),1980: Housing units: Owner occupied ~ Householder is White (single race),1990: Housing units: Owner occupied ~ Householder is White (single race),2000: Housing units: Owner occupied ~ Householder is White (single race),2010: Housing units: Owner occupied ~ Householder is White (single race),1970: Housing units: Owner occupied ~ Householder is Black or African American (single race),1980: Housing units: Owner occupied ~ Householder is Black or African American (single race),1990: Housing units: Owner occupied ~ Householder is Black or African American (single race),2000: Housing units: Owner occupied ~ Householder is Black or African American (single race),2010: Housing units: Owner occupied ~ Householder is Black or African American (single race),"1970: Housing units: Owner occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)","1980: Housing units: Owner occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)","1990: Housing units: Owner occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)","2000: Housing units: Owner occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)","2010: Housing units: Owner occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)",2000: Housing units: Owner occupied ~ Householder is Two or More Races,2010: Housing units: Owner occupied ~ Householder is Two or More Races,1970: Housing units: Renter occupied ~ Householder is White (single race),1980: Housing units: Renter occupied ~ Householder is White (single race),1990: Housing units: Renter occupied ~ Householder is White (single race),2000: Housing units: Renter occupied ~ Householder is White (single race),2010: Housing units: Renter occupied ~ Householder is White (single race),1970: Housing units: Renter occupied ~ Householder is Black or African American (single race),1980: Housing units: Renter occupied ~ Householder is Black or African American (single race),1990: Housing units: Renter occupied ~ Householder is Black or African American (single race),2000: Housing units: Renter occupied ~ Householder is Black or African American (single race),2010: Housing units: Renter occupied ~ Householder is Black or African American (single race),"1970: Housing units: Renter occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)","1980: Housing units: Renter occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)","1990: Housing units: Renter occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)","2000: Housing units: Renter occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)","2010: Housing units: Renter occupied ~ Householder is American Indian, Alaska Native, Asian, Pacific Islander, or Some Other Race (single race)",2000: Housing units: Renter occupied ~ Householder is Two or More Races,2010: Housing units: Renter occupied ~ Householder is Two or More Races
"G0100010","Alabama","01","010","Autauga County","001","0010",,,,3853,11874,14342,15023,16739,11623,13108,13330,17915,20038,18908,19694,20977,18186,18739,24460,32259,34222,43671,54571,17511,24846,27144,35221,42855,6911,7224,6845,7473,9643,4,97,71,194,232,34,85,162,378,972,405,869,4298,4079,2438,1588,1886,401,7003,11244,15397,21029,25629,1079,767,2117,3026,4972,7629,584,5549,8381,9091,11596,14446,480,336,333,346,505,553,157,5213,8048,8745,11091,13893,496,5133,7575,8351,10583,12741,511,80,473,394,508,1152,252,1700,2584,2884,3956,5539,424,3143,5476,7638,9571,12661,543,16,26,73,61,167,113,3127,5450,7565,9510,12494,548,2985,5016,7081,9012,11384,517,142,434,484,498,1110,236,4955,6458,5686,7367,9154,545,4815,3095,2026,1635,1234,227,1442,1507,1201,945,973,246,437,2950,2138,2003,1719,306,102,2669,6461,11389,16008,840,16524,28337,42013,53773,1888,4867,8136,9422,12929,15248,1929,2061,2404,3074,4973,3987,6701,7850,10792,12688,866,1392,1533,1930,2222,4,37,39,115,213,92,125,1164,1469,1820,2331,3471,771,562,562,669,1283,1,14,22,42,140,32,79
"G0100015","Alabama","01","010","Baker County",,"0015",,,,,,,,,6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100030","Alabama","01","010","Baldwin County","003","0030",,,,1713,2324,2951,4414,7530,6004,8603,8941,13194,18178,20730,28289,32324,40997,49088,59382,78556,98280,140415,182265,48650,65922,84565,122366,156153,10569,12035,12640,14444,17105,84,432,630,809,1216,79,64,445,1330,5068,1466,2723,11419,9822,6386,4197,5111,636,18067,30285,47367,69667,86853,2378,2038,5498,10870,22146,35307,1425,13901,19513,24974,35626,47596,1004,118,100,136,189,290,131,13783,19413,24838,35437,47306,1012,13360,18374,23796,34042,43398,1049,423,1039,1042,1395,3908,525,5160,7993,11183,17422,23062,879,7616,12857,20650,30334,41286,1120,5,10,8,20,14,81,7611,12847,20642,30314,41272,1124,7109,11433,19209,28896,37667,1121,502,1414,1433,1418,3605,529,13191,17243,19054,26873,34098,1106,12981,9143,6275,4874,4621,519,3288,4507,3995,3834,3346,463,1138,7014,7777,7326,8442,718,314,6024,19079,39322,56342,1813,14614,25712,40250,50706,1371,13793,21285,29025,44016,53071,3928,5490,8019,11320,20109,12060,18827,25965,39869,48307,1707,2315,2847,3382,3441,24,160,213,412,880,353,443,3200,4634,6953,9651,16345,718,801,970,1281,2471,11,31,96,223,949,165,344
"G0100050","Alabama","01","010","Barbour County","005","0050",,,,,,12024,23632,30812,29309,33979,34898,35152,32728,32067,32425,32722,28892,24700,22543,24756,25417,29038,27457,12134,13661,14118,14887,13180,10389,11003,11194,13451,12875,10,21,46,131,114,10,65,59,357,1030,212,258,5943,5230,3403,2442,1914,251,5000,7562,10442,14386,14311,660,861,1300,1857,2068,2757,299,4901,5324,5913,5724,5385,368,21,45,33,21,4,66,4880,5279,5880,5703,5381,369,4784,4899,5499,5442,4571,377,96,380,381,261,810,207,1897,2726,2797,5906,6564,390,3307,4131,5273,5102,5232,290,4,0,2,0,0,70,3303,4131,5271,5102,5232,291,3109,3743,4814,4751,4606,278,194,388,457,351,626,158,5107,5650,4842,5814,4975,289,5553,4145,2670,2425,1480,229,843,1410,1127,1109,1102,181,349,1642,1804,1665,1382,204,69,1129,3633,5233,5459,405,10058,19389,25101,31889,2212,4305,6049,6490,7612,6556,2509,2326,2728,2797,3264,3005,4010,4187,4729,4062,1295,2034,2288,2810,2391,0,5,15,38,71,35,32,1120,1112,1442,1136,1070,1387,1195,1274,1558,1953,4,19,12,77,206,26,35
"G0100055","Alabama","01","010","Benton County",,"0055",,,,,,14260,17163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100070","Alabama","01","010","Bibb County","007","0070",,,,,6306,8284,9969,11894,7469,9487,13824,18498,22791,23144,20780,20155,17987,14357,13812,15723,16576,20826,22915,9953,12040,13052,15966,17381,3850,3675,3478,4624,5047,1,2,25,49,64,8,6,21,80,220,107,203,3499,3086,2122,1783,1447,328,3413,5315,7467,10795,12675,834,302,433,476,962,1396,276,3053,3746,4204,4825,5461,461,4,0,10,24,0,70,3049,3746,4194,4801,5461,462,2959,3429,4014,4509,5007,437,90,317,180,292,454,194,1344,1639,1643,3484,4326,461,1605,2173,2995,3696,4160,397,0,0,0,0,0,70,1605,2173,2995,3696,4160,398,1405,1948,2711,3458,3608,391,200,225,284,238,552,239,3129,3725,3458,4106,4190,383,3340,2132,1485,1157,732,190,521,905,739,698,551,169,144,1344,1290,1188,1286,288,15,764,2262,4340,4817,498,12299,19775,31420,36824,4346,2751,3934,4510,5951,6011,1269,1233,1235,1470,1942,2280,3340,3799,4965,5102,447,591,704,938,828,3,0,7,26,38,22,43,836,840,902,1068,1351,448,392,329,372,521,1,0,4,22,47,8,23
"G0100090","Alabama","01","010","Blount County","009","0090",,,,2415,4233,5570,7367,10865,9945,15369,21927,23119,21456,25538,28020,29490,28975,25449,26853,36459,39248,51024,57322,26205,35668,38397,48512,53068,629,661,521,606,761,15,98,133,250,307,4,23,197,1137,2502,519,684,6974,6967,4330,3726,3446,403,7769,13529,19138,26741,30465,1192,404,1144,1773,3235,4792,457,6568,9413,10904,13654,14649,575,5,18,32,38,18,82,6563,9395,10872,13616,14631,576,6334,8695,10434,13059,13057,581,229,700,438,557,1574,285,2476,3786,3786,5749,7513,496,2995,5456,7634,10242,11675,585,0,0,4,0,0,89,2995,5456,7630,10242,11675,587,2823,5018,7134,9642,10614,574,172,438,496,600,1061,227,6766,8332,8151,9805,11362,594,6847,4980,3149,2377,1627,295,1218,2354,1705,1423,1291,224,305,3233,3137,2619,2659,321,72,2127,6625,12734,15454,829,12657,22382,35241,45192,1933,6230,10308,11972,16075,17384,2212,2374,2672,3190,4194,6099,10123,11805,15581,16632,128,123,131,170,176,0,42,36,201,451,123,125,2144,2324,2580,2961,3804,56,38,45,52,100,4,12,47,133,228,44,62
"G0100110","Alabama","01","010","Bullock County","011","0110",,,,,,,,,24474,29066,27063,31944,30196,25333,20016,19810,16054,13462,11824,10596,11042,11714,10914,3857,3431,3036,2958,2507,7965,7160,7986,8564,7666,2,0,8,44,23,0,5,12,66,632,82,86,3164,2257,1608,1145,957,344,2344,3114,4443,5839,5718,624,314,516,676,586,900,245,2193,1898,1982,2014,2732,481,0,15,6,10,0,60,2193,1883,1976,2004,2732,482,2083,1778,1813,1889,2452,457,110,105,163,115,280,171,1193,1460,1821,2808,2102,366,1492,1724,2108,1759,2030,244,0,0,0,0,0,60,1492,1724,2108,1759,2030,246,1383,1486,1940,1552,1629,268,109,238,168,207,401,180,2590,2452,2062,2488,1821,227,2963,1961,1402,1158,659,174,215,604,501,474,159,79,140,513,770,658,601,216,18,403,1082,1703,2321,365,8204,14745,20605,34500,6593,1889,2507,2729,2969,2576,1447,948,1058,1017,1169,941,1083,990,882,706,947,1424,1737,2060,1828,0,0,2,10,26,17,16,356,249,199,195,127,1108,699,856,800,896,0,0,3,14,138,8,8
"G0100130","Alabama","01","010","Butler County","013","0130",,,,1405,5650,8685,10836,18122,14981,19649,21641,25761,29030,29531,30195,32447,29228,24560,22007,21680,21892,21399,20947,13174,13255,13049,12492,11399,8820,8397,8798,8732,9095,3,14,24,45,60,10,8,21,46,232,84,161,5942,4422,3074,1747,1151,210,5369,7158,9333,10587,11118,535,541,1029,1083,1433,1812,280,4860,4655,4567,4591,4396,259,0,10,8,28,10,70,4860,4645,4559,4563,4386,262,4677,4344,4059,4195,3660,248,183,301,500,368,726,165,2030,2462,2662,2959,3080,263,3185,3639,4216,4395,4682,256,0,8,0,0,0,70,3185,3631,4216,4395,4682,257,3061,3347,3478,3811,4159,271,124,284,738,584,523,148,4950,4878,4640,4535,4124,272,5630,3661,2765,1809,1311,190,783,1365,1031,840,789,174,179,1599,1468,1577,1382,189,77,828,2630,4160,4667,369,10206,16054,24791,30752,2362,4185,5315,5788,6403,5967,2484,2156,2147,1995,2524,3252,3942,4113,4321,3889,936,1367,1667,2047,2018,0,6,8,20,29,15,31,1304,1119,1110,899,965,1161,1032,1031,1071,1486,3,5,6,14,60,11,13
