GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,CA8001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total employees
"G0100010","1970","Alabama","01","Autauga","001","Autauga, AL",2528
"G0100030","1970","Alabama","01","Baldwin","003","Baldwin, AL",8635
"G0100050","1970","Alabama","01","Barbour","005","Barbour, AL",4121
"G0100070","1970","Alabama","01","Bibb","007","Bibb, AL",2084
"G0100090","1970","Alabama","01","Blount","009","Blount, AL",2825
"G0100110","1970","Alabama","01","Bullock","011","Bullock, AL",1280
"G0100130","1970","Alabama","01","Butler","013","Butler, AL",4662
"G0100150","1970","Alabama","01","Calhoun","015","Calhoun, AL",22522
"G0100170","1970","Alabama","01","Chambers","017","Chambers, AL",11035
"G0100190","1970","Alabama","01","Cherokee","019","Cherokee, AL",1556
"G0100210","1970","Alabama","01","Chilton","021","Chilton, AL",2505
"G0100230","1970","Alabama","01","Choctaw","023","Choctaw, AL",3905
"G0100250","1970","Alabama","01","Clarke","025","Clarke, AL",5366
"G0100270","1970","Alabama","01","Clay","027","Clay, AL",1501
"G0100290","1970","Alabama","01","Cleburne","029","Cleburne, AL",1194
"G0100310","1970","Alabama","01","Coffee","031","Coffee, AL",5888
"G0100330","1970","Alabama","01","Colbert","033","Colbert, AL",14459
"G0100350","1970","Alabama","01","Conecuh","035","Conecuh, AL",2064
"G0100370","1970","Alabama","01","Coosa","037","Coosa, AL",1066
"G0100390","1970","Alabama","01","Covington","039","Covington, AL",9411
"G0100410","1970","Alabama","01","Crenshaw","041","Crenshaw, AL",1564
"G0100430","1970","Alabama","01","Cullman","043","Cullman, AL",9168
"G0100450","1970","Alabama","01","Dale","045","Dale, AL",10026
"G0100470","1970","Alabama","01","Dallas","047","Dallas, AL",11265
"G0100490","1970","Alabama","01","DeKalb","049","De Kalb, AL",5638
"G0100510","1970","Alabama","01","Elmore","051","Elmore, AL",2879
"G0100530","1970","Alabama","01","Escambia","053","Escambia, AL",6607
"G0100550","1970","Alabama","01","Etowah","055","Etowah, AL",23860
"G0100570","1970","Alabama","01","Fayette","057","Fayette, AL",2606
"G0100590","1970","Alabama","01","Franklin","059","Franklin, AL",3869
"G0100610","1970","Alabama","01","Geneva","061","Geneva, AL",3170
"G0100630","1970","Alabama","01","Greene","063","Greene, AL",830
"G0100650","1970","Alabama","01","Hale","065","Hale, AL",1442
"G0100670","1970","Alabama","01","Henry","067","Henry, AL",2062
"G0100690","1970","Alabama","01","Houston","069","Houston, AL",16201
"G0100710","1970","Alabama","01","Jackson","071","Jackson, AL",6475
"G0100730","1970","Alabama","01","Jefferson","073","Jefferson, AL",209088
"G0100750","1970","Alabama","01","Lamar","075","Lamar, AL",2562
"G0100770","1970","Alabama","01","Lauderdale","077","Lauderdale, AL",10318
"G0100790","1970","Alabama","01","Lawrence","079","Lawrence, AL",2591
"G0100810","1970","Alabama","01","Lee","081","Lee, AL",12538
"G0100830","1970","Alabama","01","Limestone","083","Limestone, AL",3751
"G0100850","1970","Alabama","01","Lowndes","085","Lowndes, AL",1005
"G0100870","1970","Alabama","01","Macon","087","Macon, AL",2743
"G0100890","1970","Alabama","01","Madison","089","Madison, AL",44106
"G0100910","1970","Alabama","01","Marengo","091","Marengo, AL",4182
"G0100930","1970","Alabama","01","Marion","093","Marion, AL",5920
"G0100950","1970","Alabama","01","Marshall","095","Marshall, AL",10814
"G0100970","1970","Alabama","01","Mobile","097","Mobile, AL",77219
"G0100990","1970","Alabama","01","Monroe","099","Monroe, AL",5946
"G0101010","1970","Alabama","01","Montgomery","101","Montgomery, AL",47167
"G0101030","1970","Alabama","01","Morgan","103","Morgan, AL",23611
"G0101050","1970","Alabama","01","Perry","105","Perry, AL",1699
"G0101070","1970","Alabama","01","Pickens","107","Pickens, AL",3375
"G0101090","1970","Alabama","01","Pike","109","Pike, AL",4580
"G0101110","1970","Alabama","01","Randolph","111","Randolph, AL",3008
"G0101130","1970","Alabama","01","Russell","113","Russell, AL",5534
"G0101150","1970","Alabama","01","St Clair","115","St. Clair, AL",2579
"G0101170","1970","Alabama","01","Shelby","117","Shelby, AL",5357
"G0101190","1970","Alabama","01","Sumter","119","Sumter, AL",1511
"G0101210","1970","Alabama","01","Talladega","121","Talladega, AL",16461
"G0101230","1970","Alabama","01","Tallapoosa","123","Tallapoosa, AL",12251
"G0101250","1970","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",24148
"G0101270","1970","Alabama","01","Walker","127","Walker, AL",9234
"G0101290","1970","Alabama","01","Washington","129","Washington, AL",3040
"G0101310","1970","Alabama","01","Wilcox","131","Wilcox, AL",2354
"G0101330","1970","Alabama","01","Winston","133","Winston, AL",4110
"G0109990","1970","Alabama","01","Remainder of Alabama","999","Alabama Statewide No Fixed Loc",8482
"G0200150","1970","Alaska","02","Gateway","015","Gateway, AK",2917
"G0200170","1970","Alaska","02","Greater Anchorage","017","Greater Anchorage, AK",24729
"G0200190","1970","Alaska","02","Greater Juneau","019","Greater Juneau, AK",2043
"G0200210","1970","Alaska","02","Greater Sitka","021","Greater Sitka, AK",1293
"G0200230","1970","Alaska","02","Kenai Peninsula (NW)","023","Kenai Peninsula (NW), AK",1750
"G0200250","1970","Alaska","02","Kenai Peninsula (SE)","025","Kenai Peninsula (SE), AK",278
"G0200600","1970","Alaska","02","Bristol Bay Borough","060","Bristol Bay, AK",33
"G0200910","1970","Alaska","02","North Star","091","North Star, AK",6949
"G0200980","1970","Alaska","02","Area Outide Boroughs","098","Area Outide Boroughs, AK",6084
"G0201500","1970","Alaska","02","Kodiak Island","150","Kodiak Island, AK",1551
"G0201700","1970","Alaska","02","Matanuska-Susitna","170","Matanuska Susitna, AK",629
"G0209990","1970","Alaska","02","Remainder of Alaska","999","Alaska Statewide No Fixed Loc",2017
"G0400010","1970","Arizona","04","Apache","001","Apache, AZ",3995
"G0400030","1970","Arizona","04","Cochise","003","Cochise, AZ",9868
"G0400050","1970","Arizona","04","Coconino","005","Coconino, AZ",9469
"G0400070","1970","Arizona","04","Gila","007","Gila, AZ",7572
"G0400090","1970","Arizona","04","Graham","009","Graham, AZ",1929
"G0400110","1970","Arizona","04","Greenlee","011","Greenlee, AZ",3469
"G0400130","1970","Arizona","04","Maricopa","013","Maricopa, AZ",276182
"G0400150","1970","Arizona","04","Mohave","015","Mohave, AZ",4985
"G0400170","1970","Arizona","04","Navajo","017","Navajo, AZ",4850
"G0400190","1970","Arizona","04","Pima","019","Pima, AZ",76496
"G0400210","1970","Arizona","04","Pinal","021","Pinal, AZ",11688
"G0400230","1970","Arizona","04","Santa Cruz","023","Santa Cruz, AZ",3586
"G0400250","1970","Arizona","04","Yavapai","025","Yavapai, AZ",5487
"G0400270","1970","Arizona","04","Yuma","027","Yuma, AZ",10698
"G0409990","1970","Arizona","04","Remainder of Arizona","999","Arizona Statewide No Fixed Loc",6480
"G0500010","1970","Arkansas","05","Arkansas","001","Arkansas, AR",5078
"G0500030","1970","Arkansas","05","Ashley","003","Ashley, AR",7276
"G0500050","1970","Arkansas","05","Baxter","005","Baxter, AR",3085
"G0500070","1970","Arkansas","05","Benton","007","Benton, AR",13900
"G0500090","1970","Arkansas","05","Boone","009","Boone, AR",4420
"G0500110","1970","Arkansas","05","Bradley","011","Bradley, AR",2724
"G0500130","1970","Arkansas","05","Calhoun","013","Calhoun, AR",1309
"G0500150","1970","Arkansas","05","Carroll","015","Carroll, AR",2247
"G0500170","1970","Arkansas","05","Chicot","017","Chicot, AR",2252
"G0500190","1970","Arkansas","05","Clark","019","Clark, AR",4446
"G0500210","1970","Arkansas","05","Clay","021","Clay, AR",2361
"G0500230","1970","Arkansas","05","Cleburne","023","Cleburne, AR",1230
"G0500250","1970","Arkansas","05","Cleveland","025","Cleveland, AR",456
"G0500270","1970","Arkansas","05","Columbia","027","Columbia, AR",5158
"G0500290","1970","Arkansas","05","Conway","029","Conway, AR",3285
"G0500310","1970","Arkansas","05","Craighead","031","Craighead, AR",12054
"G0500330","1970","Arkansas","05","Crawford","033","Crawford, AR",2707
"G0500350","1970","Arkansas","05","Crittenden","035","Crittenden, AR",7267
"G0500370","1970","Arkansas","05","Cross","037","Cross, AR",2587
"G0500390","1970","Arkansas","05","Dallas","039","Dallas, AR",2186
"G0500410","1970","Arkansas","05","Desha","041","Desha, AR",2985
"G0500430","1970","Arkansas","05","Drew","043","Drew, AR",3048
"G0500450","1970","Arkansas","05","Faulkner","045","Faulkner, AR",5363
"G0500470","1970","Arkansas","05","Franklin","047","Franklin, AR",1164
"G0500490","1970","Arkansas","05","Fulton","049","Fulton, AR",485
"G0500510","1970","Arkansas","05","Garland","051","Garland, AR",14131
"G0500530","1970","Arkansas","05","Grant","053","Grant, AR",1297
"G0500550","1970","Arkansas","05","Greene","055","Greene, AR",4681
"G0500570","1970","Arkansas","05","Hempstead","057","Hempstead, AR",3174
"G0500590","1970","Arkansas","05","Hot Spring","059","Hot Spring, AR",3977
"G0500610","1970","Arkansas","05","Howard","061","Howard, AR",2324
"G0500630","1970","Arkansas","05","Independence","063","Independence, AR",5038
"G0500650","1970","Arkansas","05","Izard","065","Izard, AR",747
"G0500670","1970","Arkansas","05","Jackson","067","Jackson, AR",3479
"G0500690","1970","Arkansas","05","Jefferson","069","Jefferson, AR",16680
"G0500710","1970","Arkansas","05","Johnson","071","Johnson, AR",2122
"G0500730","1970","Arkansas","05","Lafayette","073","Lafayette, AR",1356
"G0500750","1970","Arkansas","05","Lawrence","075","Lawrence, AR",1750
"G0500770","1970","Arkansas","05","Lee","077","Lee, AR",1444
"G0500790","1970","Arkansas","05","Lincoln","079","Lincoln, AR",1326
"G0500810","1970","Arkansas","05","Little River","081","Little River, AR",1894
"G0500830","1970","Arkansas","05","Logan","083","Logan, AR",2119
"G0500850","1970","Arkansas","05","Lonoke","085","Lonoke, AR",2768
"G0500870","1970","Arkansas","05","Madison","087","Madison, AR",494
